K,sim,MAE
3,lirau,0.8087789942537371
3,lirau_test,0.8651350808476449
5,lirau,0.7850430218464837
5,lirau_test,0.8304413078614237
7,lirau,0.7762975120832744
7,lirau_test,0.8096001980940144
10,lirau,0.7710232278381087
10,lirau_test,0.79214357016982
15,lirau,0.7689733316510033
15,lirau_test,0.7780294544458083
20,lirau,0.7697281747122559
20,lirau_test,0.7716466693429613
30,lirau,0.7732940161556158
30,lirau_test,0.7669438636072874
40,lirau,0.778005208423979
40,lirau_test,0.7660939798273405
50,lirau,0.7822581966137889
50,lirau_test,0.7660698784724141
60,lirau,0.7858682917141506
60,lirau_test,0.7668112620872103
80,lirau,0.7919139793494284
80,lirau_test,0.7682844456795125
160,lirau,0.8073415708982911
160,lirau_test,0.774956644538434
