Similarity,k,error,err_type,nbhd_type
cosine,3,0.8124421382538193,MAE,weighted
cosine,5,0.7765754032893681,MAE,weighted
cosine,7,0.7621458432312491,MAE,weighted
cosine,10,0.7517180713545458,MAE,weighted
cosine,15,0.745699703170348,MAE,weighted
cosine,20,0.7437185047412187,MAE,weighted
cosine,30,0.7430158284308024,MAE,weighted
cosine,40,0.7437867732352026,MAE,weighted
cosine,50,0.7445482431754731,MAE,weighted
cosine,60,0.7451379179723984,MAE,weighted
cosine,80,0.7462815786262542,MAE,weighted
cosine,160,0.7477902696975476,MAE,weighted
lira_gaussian_pc_sd4,3,0.7426182276137256,MAE,weighted
lira_gaussian_pc_sd4,5,0.7226016795261053,MAE,weighted
lira_gaussian_pc_sd4,7,0.7155424389723426,MAE,weighted
lira_gaussian_pc_sd4,10,0.7112211947384769,MAE,weighted
lira_gaussian_pc_sd4,15,0.7105828565166186,MAE,weighted
lira_gaussian_pc_sd4,20,0.7118848611654615,MAE,weighted
lira_gaussian_pc_sd4,30,0.7153648177148614,MAE,weighted
lira_gaussian_pc_sd4,40,0.718580498288454,MAE,weighted
lira_gaussian_pc_sd4,50,0.7210439075513463,MAE,weighted
lira_gaussian_pc_sd4,60,0.7230020120225781,MAE,weighted
lira_gaussian_pc_sd4,80,0.7261552514453712,MAE,weighted
lira_gaussian_pc_sd4,160,0.7308678928369455,MAE,weighted
lira_uniform,3,0.7429055403051252,MAE,weighted
lira_uniform,5,0.7228472135243917,MAE,weighted
lira_uniform,7,0.7155291653442989,MAE,weighted
lira_uniform,10,0.7109116600426938,MAE,weighted
lira_uniform,15,0.7099215550378188,MAE,weighted
lira_uniform,20,0.710829087798139,MAE,weighted
lira_uniform,30,0.7141247643991451,MAE,weighted
lira_uniform,40,0.7173143168320475,MAE,weighted
lira_uniform,50,0.7197876808247212,MAE,weighted
lira_uniform,60,0.7217967001479744,MAE,weighted
lira_uniform,80,0.7249491279555128,MAE,weighted
lira_uniform,160,0.7297792117326924,MAE,weighted
pearson_pwc,3,0.8219489268393291,MAE,weighted
pearson_pwc,5,0.7849206774262804,MAE,weighted
pearson_pwc,7,0.7700729378685496,MAE,weighted
pearson_pwc,10,0.7594011769074007,MAE,weighted
pearson_pwc,15,0.7513534958750016,MAE,weighted
pearson_pwc,20,0.7480686424362823,MAE,weighted
pearson_pwc,30,0.7458122463417783,MAE,weighted
pearson_pwc,40,0.7453091112419488,MAE,weighted
pearson_pwc,50,0.7453042566929852,MAE,weighted
pearson_pwc,60,0.7454669072143547,MAE,weighted
pearson_pwc,80,0.7459833269179392,MAE,weighted
pearson_pwc,160,0.7470285225880079,MAE,weighted
cosine,3,0.8123600228787221,MAE,unweighted
cosine,5,0.7765927242907251,MAE,unweighted
cosine,7,0.7622567289924798,MAE,unweighted
cosine,10,0.7519288026933362,MAE,unweighted
cosine,15,0.7460093510548587,MAE,unweighted
cosine,20,0.7441156621079075,MAE,unweighted
cosine,30,0.7435345742143137,MAE,unweighted
cosine,40,0.7444186869374848,MAE,unweighted
cosine,50,0.7452656752322803,MAE,unweighted
cosine,60,0.7459106843289431,MAE,unweighted
cosine,80,0.7471479735993763,MAE,unweighted
cosine,160,0.7488056178609992,MAE,unweighted
lira_gaussian_pc_sd4,3,0.7344979932173858,MAE,unweighted
lira_gaussian_pc_sd4,5,0.7182691543165703,MAE,unweighted
lira_gaussian_pc_sd4,7,0.7148709332835527,MAE,unweighted
lira_gaussian_pc_sd4,10,0.7138429500206513,MAE,unweighted
lira_gaussian_pc_sd4,15,0.7174972343678202,MAE,unweighted
lira_gaussian_pc_sd4,20,0.7216146104551849,MAE,unweighted
lira_gaussian_pc_sd4,30,0.7284845753000021,MAE,unweighted
lira_gaussian_pc_sd4,40,0.7336923471255573,MAE,unweighted
lira_gaussian_pc_sd4,50,0.7372722112784932,MAE,unweighted
lira_gaussian_pc_sd4,60,0.7401000767563677,MAE,unweighted
lira_gaussian_pc_sd4,80,0.7439822972814425,MAE,unweighted
lira_gaussian_pc_sd4,160,0.7492157192914296,MAE,unweighted
lira_uniform,3,0.7356802837497277,MAE,unweighted
lira_uniform,5,0.7193964787101279,MAE,unweighted
lira_uniform,7,0.7154672640345145,MAE,unweighted
lira_uniform,10,0.7143262372031701,MAE,unweighted
lira_uniform,15,0.7177399150560377,MAE,unweighted
